ViewYN,PoolPrivateYN,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,CountyOrParish,AttachedGarageYN,ParkingTotal,LotSizeAcres,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,PurchaseContractDate,ListingContractDate,FireplaceYN,Stories,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,PostalCode,LotSizeSquareFeet
True,False,2025-02-14,535000.0,35.75725999999999,-120.693734,1519.0,San Luis Obispo,True,2.0,0.1099,2003.0,2.0,San Miguel,4.0,2025-02-14,2025-01-17,2024-01-17,False,1.0,4789.0,4.0,False,2.0,93451,4789.0
False,False,2025-02-14,1118000.0,34.143002,-118.630059,2291.0,Los Angeles,True,2.0,0.1226,1976.0,3.0,Calabasas,4.0,2025-02-14,2025-02-14,2025-02-14,True,2.0,5340.0,1.0,False,2.0,91302,5340.0
True,False,2025-02-11,875000.0,33.853297999999995,-118.239443,2647.0,Los Angeles,True,2.0,0.136,1963.0,4.0,Carson,4.0,2025-02-11,2025-02-11,2025-02-11,True,2.0,5924.0,3.0,False,2.0,90746,5924.0
False,False,2025-02-28,800000.0,34.166835,-118.632517,1462.0,Los Angeles,False,2.0,0.2202,1946.0,2.0,Woodland Hills,3.0,2025-02-28,2025-02-15,2025-02-13,True,1.0,9594.0,3.0,False,2.0,91367,9594.0
True,,2025-02-24,4350000.0,36.5536964,-121.9217108,1794.0,Monterey,True,1.0,0.0918,1999.0,2.0,Carmel,3.0,2025-02-24,2025-02-15,2025-02-15,True,1.0,4000.0,,False,1.0,93921,4000.0
True,False,2025-02-15,2500000.0,37.64859271,-122.00725262,3961.0,Alameda,True,3.0,0.1761,2018.0,5.0,Hayward,5.0,2025-02-15,2025-02-15,2025-02-15,True,2.0,7669.0,,False,3.0,94542,7669.0
False,False,2025-02-14,2400000.0,37.21150853,-121.84322209,2209.0,Santa Clara,True,2.0,0.1848,1969.0,3.0,San Jose,4.0,2025-02-14,2025-02-15,2025-02-14,True,1.0,8050.0,,False,2.0,95120,8050.0
True,False,2025-02-25,2465000.0,33.455911,-117.65934,2100.0,Orange,True,2.0,0.1377,1969.0,2.0,Dana Point,3.0,2025-02-25,2025-02-04,2025-02-02,True,1.0,6000.0,3.0,False,2.0,92624,6000.0
False,,2025-02-27,5528000.0,37.55038549,-122.36853779,3358.0,San Mateo,False,2.0,0.6025,1955.0,3.0,Hillsborough,4.0,2025-02-27,2025-02-14,2025-02-14,True,1.0,26245.0,,False,0.0,94010,26245.0
False,False,2025-02-14,4050000.0,33.05711274,-117.1829664,3797.0,San Diego,True,6.0,,2003.0,6.0,Rancho Santa Fe,4.0,2025-02-14,2025-02-14,2025-02-14,True,2.0,,,False,3.0,92091,
